Category,Brand,Product,Price_USD,EcoScore,Carbon_Intensity_gCO2eq,Packaging_Type,Main_Ingredients
Mouthwash,EcoNectar,EcoNectar Pure Mouthwash,9.62,96,251.6,Refill Pouch,"Kaolin Clay, Vitamin E (Tocopherol), Salicylic Acid, Niacinamide, Tea Tree Oil"
Mouthwash,GreenLeaf,GreenLeaf Ultra Mouthwash,6.0,75,161.2,Pump Bottle,"Salicylic Acid, Titanium Dioxide, Zinc Oxide, Shea Butter, Hyaluronic Acid"
Mouthwash,SereneLabs,SereneLabs Balance Mouthwash,6.31,79,154.2,Paper Box,"Sodium Benzoate, Cocamidopropyl Betaine, Lactic Acid, Sodium Chloride, Coconut Oil"
Mouthwash,HerbaSense,HerbaSense Balance Mouthwash,11.58,61,138.3,Refill Pouch,"Citric Acid, Lactic Acid, Potassium Sorbate, Sorbitol, Zinc Oxide"
Mouthwash,KindlyMade,KindlyMade Fresh Mouthwash,11.83,75,145.5,Aluminum Tube,"Aloe Vera Extract, Water (Aqua), Vitamin E (Tocopherol), Titanium Dioxide, Fragrance"
Toothpaste,TerraKind,TerraKind Daily Toothpaste,11.78,80,239.5,Aluminum Tube,"Kaolin Clay, Olive Oil, Sorbitol, Salicylic Acid, Cocamidopropyl Betaine"
Toothpaste,MiraSkin,MiraSkin Daily Toothpaste,8.38,80,195.7,Pump Bottle,"Dimethicone, Polyquaternium-10, Glycerin, Citric Acid, Olive Oil"
Toothpaste,Sage & Sun,Sage & Sun Ultra Toothpaste,10.49,75,198.3,Plastic Bottle,"Fragrance, Tea Tree Oil, Potassium Sorbate, Polyquaternium-10, Aloe Vera Extract"
Toothpaste,EcoNectar,EcoNectar Pure Toothpaste,4.51,98,219.2,Glass Jar,"Sorbitol, Zinc Oxide, Panthenol (Pro-Vitamin B5), Niacinamide, Cetyl Alcohol"
Toothpaste,ClearRise,ClearRise Fresh Toothpaste,10.81,77,161.1,Plastic Bottle,"Phenoxyethanol, Polyquaternium-10, Lactic Acid, Cocamidopropyl Betaine, Sorbitol"
Toothpaste,NovaDerm,NovaDerm Pure Toothpaste,5.75,55,131.4,Aluminum Tube,"Titanium Dioxide, Sodium Laureth Sulfate, Dimethicone, Water (Aqua), Hyaluronic Acid"
Toothpaste,ClearRise,ClearRise Comfort Toothpaste,7.49,52,146.3,Paper Box,"Vitamin E (Tocopherol), Olive Oil, Niacinamide, Sodium Laureth Sulfate, Charcoal"
Toothpaste,OceanMist,OceanMist Fresh Toothpaste,10.2,87,232.2,Glass Jar,"Hyaluronic Acid, Cocamidopropyl Betaine, Titanium Dioxide, Sodium Benzoate, Kaolin Clay"
Toothpaste,CleanWave,CleanWave Fresh Toothpaste,10.53,54,111.9,Paper Box,"Phenoxyethanol, Lactic Acid, Chamomile Extract, Potassium Sorbate, Cetyl Alcohol"
Toothpaste,VitalBloom,VitalBloom Essentials Toothpaste,4.56,69,239.9,Paper Box,"Zinc Oxide, Titanium Dioxide, Salicylic Acid, Niacinamide, Sodium Laureth Sulfate"
Moisturizer,KindlyMade,KindlyMade Daily Moisturizer,41.02,97,237.6,Recycled Plastic Bottle,"Sodium Benzoate, Polyquaternium-10, Charcoal, Chamomile Extract, Olive Oil"
Moisturizer,BotaniPure,BotaniPure Comfort Moisturizer,43.23,94,164.1,Aluminum Tube,"Salicylic Acid, Zinc Oxide, Kaolin Clay, Niacinamide, Cetyl Alcohol"
Moisturizer,TerraKind,TerraKind Gentle Moisturizer,44.89,91,489.2,Refill Pouch,"Shea Butter, Hyaluronic Acid, Coconut Oil, Charcoal, Cocamidopropyl Betaine"
Moisturizer,MiraSkin,MiraSkin Gentle Moisturizer,20.87,81,250.9,Aerosol Can,"Chamomile Extract, Sorbitol, Titanium Dioxide, Glycerin, Niacinamide"
Moisturizer,EcoNectar,EcoNectar Renew Moisturizer,18.09,80,452.7,Plastic Bottle,"Charcoal, Olive Oil, Titanium Dioxide, Niacinamide, Hyaluronic Acid"
Moisturizer,PureAura,PureAura Pure Moisturizer,27.66,89,416.0,Glass Jar,"Citric Acid, Titanium Dioxide, Fragrance, Cetyl Alcohol, Aloe Vera Extract"
Moisturizer,ClearRise,ClearRise Essentials Moisturizer,13.37,88,429.8,Aluminum Tube,"Aloe Vera Extract, Titanium Dioxide, Water (Aqua), Hyaluronic Acid, Sodium Laureth Sulfate"
Moisturizer,OceanMist,OceanMist Ultra Moisturizer,25.61,57,376.7,Aluminum Tube,"Salicylic Acid, Cetyl Alcohol, Vitamin E (Tocopherol), Aloe Vera Extract, Zinc Oxide"
Moisturizer,PurelyYou,PurelyYou Fresh Moisturizer,23.96,91,235.3,Aluminum Tube,"Panthenol (Pro-Vitamin B5), Sodium Chloride, Cetyl Alcohol, Phenoxyethanol, Zinc Oxide"
Moisturizer,SereneLabs,SereneLabs Gentle Moisturizer,40.1,67,420.4,Aerosol Can,"Coconut Oil, Cetyl Alcohol, Tea Tree Oil, Zinc Oxide, Citric Acid"
Skincare Serum,RadiantMe,RadiantMe Daily Skincare Serum,19.18,69,443.1,Refill Pouch,"Olive Oil, Fragrance, Niacinamide, Titanium Dioxide, Salicylic Acid"
Skincare Serum,SilkRoot,SilkRoot Renew Skincare Serum,28.87,84,282.0,Pump Bottle,"Olive Oil, Sodium Chloride, Vitamin E (Tocopherol), Sodium Benzoate, Potassium Sorbate"
Skincare Serum,FreshNest,FreshNest Pure Skincare Serum,39.82,76,165.3,Refill Pouch,"Vitamin E (Tocopherol), Cetyl Alcohol, Tea Tree Oil, Panthenol (Pro-Vitamin B5), Charcoal"
Skincare Serum,VelvetLeaf,VelvetLeaf Gentle Skincare Serum,26.83,52,194.2,Pump Bottle,"Olive Oil, Cocamidopropyl Betaine, Niacinamide, Zinc Oxide, Cetyl Alcohol"
Skincare Serum,ClearRise,ClearRise Daily Skincare Serum,35.01,76,454.8,Aluminum Tube,"Sodium Laureth Sulfate, Salicylic Acid, Tea Tree Oil, Citric Acid, Coconut Oil"
Skincare Serum,KindlyMade,KindlyMade Natural Skincare Serum,32.39,93,283.0,Pump Bottle,"Kaolin Clay, Vitamin E (Tocopherol), Beeswax, Sorbitol, Salicylic Acid"
Skincare Serum,MiraSkin,MiraSkin Balance Skincare Serum,10.29,54,232.2,Paper Box,"Sodium Benzoate, Lactic Acid, Sodium Laureth Sulfate, Hyaluronic Acid, Cocamidopropyl Betaine"
Skincare Serum,Nurtura,Nurtura Ultra Skincare Serum,24.97,69,466.2,Plastic Bottle,"Coconut Oil, Tea Tree Oil, Glycerin, Aloe Vera Extract, Shea Butter"
Skincare Serum,SilkRoot,SilkRoot Natural Skincare Serum,14.24,83,294.2,Aluminum Tube,"Dimethicone, Sodium Laureth Sulfate, Phenoxyethanol, Olive Oil, Panthenol (Pro-Vitamin B5)"
Skincare Serum,KindlyMade,KindlyMade Pure Skincare Serum,26.92,70,311.4,Paper Box,"Niacinamide, Citric Acid, Charcoal, Water (Aqua), Beeswax"
Cosmetics (General),VelvetLeaf,VelvetLeaf Essentials Cosmetics (General),32.33,84,279.0,Refill Pouch,"Polyquaternium-10, Shea Butter, Potassium Sorbate, Aloe Vera Extract, Kaolin Clay"
Cosmetics (General),AquaVera,AquaVera Fresh Cosmetics (General),20.33,69,299.6,Aerosol Can,"Olive Oil, Salicylic Acid, Cocamidopropyl Betaine, Sodium Benzoate, Panthenol (Pro-Vitamin B5)"
Cosmetics (General),BotaniPure,BotaniPure Renew Cosmetics (General),23.52,59,689.0,Aerosol Can,"Citric Acid, Water (Aqua), Potassium Sorbate, Olive Oil, Charcoal"
Cosmetics (General),Nurtura,Nurtura Daily Cosmetics (General),32.59,81,616.4,Paper Box,"Sorbitol, Tea Tree Oil, Sodium Benzoate, Phenoxyethanol, Shea Butter"
Cosmetics (General),OceanMist,OceanMist Pure Cosmetics (General),24.76,58,514.1,Plastic Bottle,"Aloe Vera Extract, Tea Tree Oil, Niacinamide, Glycerin, Potassium Sorbate"
Cosmetics (General),SilkRoot,SilkRoot Gentle Cosmetics (General),10.43,68,363.4,Aerosol Can,"Dimethicone, Sodium Chloride, Fragrance, Tea Tree Oil, Titanium Dioxide"
Cosmetics (General),SoftHaven,SoftHaven Renew Cosmetics (General),22.33,67,615.2,Paper Box,"Cetyl Alcohol, Chamomile Extract, Polyquaternium-10, Salicylic Acid, Tea Tree Oil"
Cosmetics (General),VitalBloom,VitalBloom Renew Cosmetics (General),29.71,79,681.4,Aluminum Tube,"Sorbitol, Polyquaternium-10, Sodium Benzoate, Olive Oil, Charcoal"
Cosmetics (General),SereneLabs,SereneLabs Natural Cosmetics (General),34.12,85,382.9,Aerosol Can,"Water (Aqua), Citric Acid, Titanium Dioxide, Cocamidopropyl Betaine, Niacinamide"
Cosmetics (General),SilkRoot,SilkRoot Fresh Cosmetics (General),23.78,73,254.2,Glass Jar,"Salicylic Acid, Water (Aqua), Phenoxyethanol, Beeswax, Polyquaternium-10"
Mascara,GlowRitual,GlowRitual Renew Mascara,32.71,64,523.8,Refill Pouch,"Cetyl Alcohol, Vitamin E (Tocopherol), Aloe Vera Extract, Kaolin Clay, Hyaluronic Acid"
Mascara,HerbaSense,HerbaSense Gentle Mascara,9.22,52,352.2,Refill Pouch,"Cocamidopropyl Betaine, Sodium Benzoate, Beeswax, Titanium Dioxide, Fragrance"
Mascara,FreshNest,FreshNest Essentials Mascara,18.02,84,409.6,Aluminum Tube,"Beeswax, Hyaluronic Acid, Kaolin Clay, Cocamidopropyl Betaine, Chamomile Extract"
Mascara,Sage & Sun,Sage & Sun Comfort Mascara,19.02,67,216.4,Pump Bottle,"Sodium Chloride, Niacinamide, Polyquaternium-10, Sodium Benzoate, Olive Oil"
Mascara,SilkRoot,SilkRoot Ultra Mascara,34.49,73,472.2,Pump Bottle,"Glycerin, Panthenol (Pro-Vitamin B5), Citric Acid, Sodium Chloride, Polyquaternium-10"
Mascara,HerbaSense,HerbaSense Essentials Mascara,10.48,63,520.9,Plastic Bottle,"Glycerin, Tea Tree Oil, Coconut Oil, Sodium Benzoate, Fragrance"
Mascara,VelvetLeaf,VelvetLeaf Comfort Mascara,13.54,85,303.6,Glass Jar,"Chamomile Extract, Olive Oil, Sodium Benzoate, Coconut Oil, Sorbitol"
Mascara,CleanWave,CleanWave Comfort Mascara,8.08,59,693.8,Paper Box,"Tea Tree Oil, Dimethicone, Cocamidopropyl Betaine, Charcoal, Olive Oil"
Mascara,GreenLeaf,GreenLeaf Gentle Mascara,8.4,94,361.9,Aluminum Tube,"Citric Acid, Glycerin, Fragrance, Lactic Acid, Hyaluronic Acid"
Mascara,EarthlyGood,EarthlyGood Ultra Mascara,28.13,80,424.1,Pump Bottle,"Zinc Oxide, Potassium Sorbate, Cocamidopropyl Betaine, Niacinamide, Sodium Benzoate"
Lipstick,KindlyMade,KindlyMade Daily Lipstick,27.64,81,429.0,Plastic Bottle,"Glycerin, Salicylic Acid, Olive Oil, Panthenol (Pro-Vitamin B5), Hyaluronic Acid"
Lipstick,MellowMist,MellowMist Ultra Lipstick,21.24,78,236.7,Recycled Plastic Bottle,"Coconut Oil, Phenoxyethanol, Fragrance, Sodium Laureth Sulfate, Citric Acid"
Lipstick,KindlyMade,KindlyMade Comfort Lipstick,22.81,83,697.3,Paper Box,"Niacinamide, Zinc Oxide, Phenoxyethanol, Hyaluronic Acid, Cocamidopropyl Betaine"
Lipstick,VelvetLeaf,VelvetLeaf Ultra Lipstick,31.03,85,560.4,Glass Jar,"Hyaluronic Acid, Niacinamide, Beeswax, Sodium Benzoate, Coconut Oil"
Lipstick,RadiantMe,RadiantMe Essentials Lipstick,18.77,56,356.3,Pump Bottle,"Charcoal, Citric Acid, Shea Butter, Polyquaternium-10, Fragrance"
Lipstick,MellowMist,MellowMist Essentials Lipstick,9.81,55,246.6,Recycled Plastic Bottle,"Lactic Acid, Shea Butter, Tea Tree Oil, Fragrance, Titanium Dioxide"
Lipstick,PureAura,PureAura Comfort Lipstick,33.83,83,535.0,Aerosol Can,"Shea Butter, Olive Oil, Charcoal, Polyquaternium-10, Sorbitol"
Lipstick,AquaVera,AquaVera Daily Lipstick,34.15,88,356.2,Recycled Plastic Bottle,"Potassium Sorbate, Zinc Oxide, Sodium Chloride, Fragrance, Charcoal"
Lipstick,Sage & Sun,Sage & Sun Pure Lipstick,30.88,72,622.7,Pump Bottle,"Cocamidopropyl Betaine, Sorbitol, Citric Acid, Potassium Sorbate, Sodium Benzoate"
Lipstick,VelvetLeaf,VelvetLeaf Natural Lipstick,30.82,85,213.1,Paper Box,"Water (Aqua), Dimethicone, Citric Acid, Vitamin E (Tocopherol), Sorbitol"
Eye Shadow,VitalBloom,VitalBloom Renew Eye Shadow,17.48,61,634.9,Aerosol Can,"Sodium Laureth Sulfate, Fragrance, Lactic Acid, Kaolin Clay, Water (Aqua)"
Eye Shadow,EcoNectar,EcoNectar Balance Eye Shadow,13.81,89,370.4,Pump Bottle,"Aloe Vera Extract, Lactic Acid, Coconut Oil, Sorbitol, Polyquaternium-10"
Eye Shadow,BotaniPure,BotaniPure Comfort Eye Shadow,10.29,63,278.7,Plastic Bottle,"Charcoal, Sodium Laureth Sulfate, Citric Acid, Niacinamide, Hyaluronic Acid"
Eye Shadow,Sage & Sun,Sage & Sun Comfort Eye Shadow,19.94,67,307.8,Recycled Plastic Bottle,"Shea Butter, Hyaluronic Acid, Cocamidopropyl Betaine, Aloe Vera Extract, Charcoal"
Eye Shadow,MellowMist,MellowMist Comfort Eye Shadow,21.14,69,222.7,Aerosol Can,"Phenoxyethanol, Glycerin, Water (Aqua), Sodium Chloride, Aloe Vera Extract"
Eye Shadow,NovaDerm,NovaDerm Gentle Eye Shadow,28.63,68,364.1,Plastic Bottle,"Salicylic Acid, Lactic Acid, Hyaluronic Acid, Dimethicone, Fragrance"
Eye Shadow,FreshNest,FreshNest Balance Eye Shadow,27.0,82,479.4,Pump Bottle,"Sodium Laureth Sulfate, Panthenol (Pro-Vitamin B5), Olive Oil, Lactic Acid, Glycerin"
Eye Shadow,AquaVera,AquaVera Daily Eye Shadow,20.41,54,631.1,Aerosol Can,"Potassium Sorbate, Panthenol (Pro-Vitamin B5), Vitamin E (Tocopherol), Kaolin Clay, Hyaluronic Acid"
Eye Shadow,VitalBloom,VitalBloom Ultra Eye Shadow,18.94,70,285.9,Refill Pouch,"Chamomile Extract, Vitamin E (Tocopherol), Cetyl Alcohol, Shea Butter, Sodium Laureth Sulfate"
Eye Shadow,AquaVera,AquaVera Ultra Eye Shadow,14.57,87,400.2,Recycled Plastic Bottle,"Panthenol (Pro-Vitamin B5), Olive Oil, Aloe Vera Extract, Lactic Acid, Coconut Oil"
